t,demand_MW,solar_pu
2000-01-01T00:00:00,51.6,0
2000-01-01T01:00:00,49.2,0
2000-01-01T02:00:00,46.5,0
2000-01-01T03:00:00,44.3,0
2000-01-01T04:00:00,43.3,0
2000-01-01T05:00:00,42.1,0
2000-01-01T06:00:00,39.8,0
2000-01-01T07:00:00,40.2,0
2000-01-01T08:00:00,41.3,0.212560386
2000-01-01T09:00:00,45,0.608695652
2000-01-01T10:00:00,49.3,0.845410628
2000-01-01T11:00:00,54.3,0.995169082
2000-01-01T12:00:00,56,1
2000-01-01T13:00:00,54.9,0.763285024
2000-01-01T14:00:00,53.3,0.309178744
2000-01-01T15:00:00,53.5,0.009661836
2000-01-01T16:00:00,57.5,0
2000-01-01T17:00:00,65,0
2000-01-01T18:00:00,66.2,0
2000-01-01T19:00:00,64.5,0
2000-01-01T20:00:00,61,0
2000-01-01T21:00:00,59,0
2000-01-01T22:00:00,58.7,0
2000-01-01T23:00:00,54.1,0
2000-01-02T00:00:00,49.7,0
2000-01-02T01:00:00,46.5,0
2000-01-02T02:00:00,44.8,0
2000-01-02T03:00:00,44.5,0
2000-01-02T04:00:00,46,0
2000-01-02T05:00:00,48.6,0
2000-01-02T06:00:00,52.6,0
2000-01-02T07:00:00,59,0
2000-01-02T08:00:00,65.1,0.096618357
2000-01-02T09:00:00,70.1,0.256038647
2000-01-02T10:00:00,73.5,0.391304348
2000-01-02T11:00:00,76.2,0.47826087
2000-01-02T12:00:00,76.8,0.531400966
2000-01-02T13:00:00,75.1,0.434782609
2000-01-02T14:00:00,73.2,0.202898551
2000-01-02T15:00:00,72.5,0.014492754
2000-01-02T16:00:00,75.2,0
2000-01-02T17:00:00,80.7,0
2000-01-02T18:00:00,80.7,0
2000-01-02T19:00:00,77.5,0
2000-01-02T20:00:00,71.3,0
2000-01-02T21:00:00,67.6,0
2000-01-02T22:00:00,65.8,0
2000-01-02T23:00:00,60.4,0
2000-01-03T00:00:00,54.7,0
2000-01-03T01:00:00,50.9,0
2000-01-03T02:00:00,48.5,0
2000-01-03T03:00:00,47.7,0
2000-01-03T04:00:00,48.2,0
2000-01-03T05:00:00,48.5,0
2000-01-03T06:00:00,49.1,0
2000-01-03T07:00:00,53.3,0
2000-01-03T08:00:00,58.9,0.09178744
2000-01-03T09:00:00,64.6,0.265700483
2000-01-03T10:00:00,68.8,0.367149758
2000-01-03T11:00:00,72,0.400966184
2000-01-03T12:00:00,72.4,0.347826087
2000-01-03T13:00:00,70.9,0.251207729
2000-01-03T14:00:00,69.5,0.111111111
2000-01-03T15:00:00,69.5,0.009661836
2000-01-03T16:00:00,72.5,0
2000-01-03T17:00:00,77.3,0
2000-01-03T18:00:00,77.4,0
